,Intent,Query,Param1,Param2
2446,GetWeather,what is the forecast for here at tea time,O O O O O B-current_location O B-timeRange O,"B-current_location(here), B-timeRange(tea),"
2447,PlayMusic,play some synthpop,O O O B-genre,"B-genre(synthpop),"
2448,GetWeather,what is the weather in ct,O O O O O B-state,"B-state(ct),"
2449,PlayMusic,play burhøns by ernie c,O B-album O B-artist I-artist,"B-album(burhøns), B-artist(ernie), I-artist(c),"
2450,PlayMusic,play music by ryan malcolm from sympathy for the devil on pandora,O O O B-artist I-artist O B-track I-track I-track I-track O B-service,"B-artist(ryan), I-artist(malcolm), B-track(sympathy), I-track(for), I-track(the), I-track(devil), B-service(pandora),"
2451,PlayMusic,play bebob on iheart,O O B-genre O B-service,"B-genre(bebob), B-service(iheart),"
2452,GetWeather,give me the forecast for feb eleventh 2034 far from alaska,O O O O O B-timeRange I-timeRange I-timeRange B-spatial_relation O B-state,"B-timeRange(feb), I-timeRange(eleventh), I-timeRange(2034), B-spatial_relation(far), B-state(alaska),"
2453,GetWeather,is it going to be cold in readstown at 4 am,O O O O O B-condition_temperature O B-city O B-timeRange I-timeRange,"B-condition_temperature(cold), B-city(readstown), B-timeRange(4), I-timeRange(am),"
2454,PlayMusic,play make the cowboy robots cry by sabin rai on vimeo,O O B-album I-album I-album I-album I-album O B-artist I-artist O B-service,"B-album(make), I-album(the), I-album(cowboy), I-album(robots), I-album(cry), B-artist(sabin), I-artist(rai), B-service(vimeo),"
2455,PlayMusic,use google music to play some songs by dr john,O B-service I-service O O O O O B-artist I-artist,"B-service(google), I-service(music), B-artist(dr), I-artist(john),"
2456,PlayMusic,play groove shark,O O B-service I-service,"B-service(groove), I-service(shark),"
2457,GetWeather,will there be hail in dean creek wildlife area on feb 25 2031,O O O B-condition_description O B-geographic_poi I-geographic_poi I-geographic_poi I-geographic_poi O B-timeRange I-timeRange I-timeRange,"B-condition_description(hail), B-geographic_poi(dean), I-geographic_poi(creek), I-geographic_poi(wildlife), I-geographic_poi(area), B-timeRange(feb), I-timeRange(25), I-timeRange(2031),"
2458,GetWeather,what will the weather be in rutherfordton rhode island on september 22nd 2017,O O O O O O O B-city B-state I-state O B-timeRange I-timeRange I-timeRange,"B-city(rutherfordton), B-state(rhode), I-state(island), B-timeRange(september), I-timeRange(22nd), I-timeRange(2017),"
2459,GetWeather,will there be fog not far from mexico on apr 27,O O O B-condition_description B-spatial_relation I-spatial_relation O B-country O B-timeRange I-timeRange,"B-condition_description(fog), B-spatial_relation(not), I-spatial_relation(far), B-country(mexico), B-timeRange(apr), I-timeRange(27),"
2460,PlayMusic,play monie love tunes on google music from 1984 from her song list,O B-artist I-artist O O B-service I-service O B-year O O B-music_item O,"B-artist(monie), I-artist(love), B-service(google), I-service(music), B-year(1984), B-music_item(song),"
2461,GetWeather,show me the forecast for anatone louisiana on november 7th,O O O O O B-city B-state O B-timeRange I-timeRange,"B-city(anatone), B-state(louisiana), B-timeRange(november), I-timeRange(7th),"
2462,PlayMusic,play a song by fats waller,O O B-music_item O B-artist I-artist,"B-music_item(song), B-artist(fats), I-artist(waller),"
2463,GetWeather,there is fog weather in grand lake nebraska,O O B-condition_description O O B-city I-city B-state,"B-condition_description(fog), B-city(grand), I-city(lake), B-state(nebraska),"
2464,GetWeather,is it colder faraway from my current spot,O O B-condition_temperature B-spatial_relation O O B-current_location I-current_location,"B-condition_temperature(colder), B-spatial_relation(faraway), B-current_location(current), I-current_location(spot),"
2465,GetWeather,tell me if it ll be colder in steptoe battlefield state park in one minute,O O O O O O B-condition_temperature O B-geographic_poi I-geographic_poi I-geographic_poi I-geographic_poi B-timeRange I-timeRange I-timeRange,"B-condition_temperature(colder), B-geographic_poi(steptoe), I-geographic_poi(battlefield), I-geographic_poi(state), I-geographic_poi(park), B-timeRange(in), I-timeRange(one), I-timeRange(minute),"
2466,PlayMusic,plkay some sixties movement songs from itunes,O O O B-year B-music_item O O B-service,"B-year(sixties), B-music_item(movement), B-service(itunes),"
2467,PlayMusic,play a song off ian stuart donaldson s nature nurture album on itunes,O O B-music_item O B-artist I-artist I-artist O B-album I-album B-music_item O B-service,"B-music_item(song), B-artist(ian), I-artist(stuart), I-artist(donaldson), B-album(nature), I-album(nurture), B-music_item(album), B-service(itunes),"
2468,PlayMusic,play an asha bhosle song from around 1964,O O O B-artist I-artist B-music_item O O B-year,"B-artist(asha), I-artist(bhosle), B-music_item(song), B-year(1964),"
2469,PlayMusic,i d like to hear helen baylor,O O O O O O B-artist I-artist,"B-artist(helen), I-artist(baylor),"
2470,PlayMusic,play the greatest soundtrack by jesse harms,O O O B-sort B-music_item O B-artist I-artist,"B-sort(greatest), B-music_item(soundtrack), B-artist(jesse), I-artist(harms),"
2471,PlayMusic,play addicted to you by hank ballard,O O B-track I-track I-track O B-artist I-artist,"B-track(addicted), I-track(to), I-track(you), B-artist(hank), I-artist(ballard),"
2472,GetWeather,will it be chillier in suwannee,O O O O B-condition_temperature O B-city,"B-condition_temperature(chillier), B-city(suwannee),"
2473,PlayMusic,play robin hood rescuing three squires by bhupinder singh,O B-track I-track I-track I-track I-track O B-artist I-artist,"B-track(robin), I-track(hood), I-track(rescuing), I-track(three), I-track(squires), B-artist(bhupinder), I-artist(singh),"
2474,GetWeather,what is the forecast for wren for freezing weather,O O O O O O B-city O B-condition_temperature O,"B-city(wren), B-condition_temperature(freezing),"
2475,PlayMusic,play the best vanessa peters songs,O O B-sort B-artist I-artist O,"B-sort(best), B-artist(vanessa), I-artist(peters),"
2476,GetWeather,what s the weather forecast in the same area of me on apr 20,O O O O O B-spatial_relation I-spatial_relation I-spatial_relation I-spatial_relation O B-state O B-timeRange I-timeRange,"B-spatial_relation(in), I-spatial_relation(the), I-spatial_relation(same), I-spatial_relation(area), B-state(me), B-timeRange(apr), I-timeRange(20),"
2477,GetWeather,i need the weather at noon for e a vaughn wildlife management area,O O O O O B-timeRange O B-geographic_poi I-geographic_poi I-geographic_poi I-geographic_poi I-geographic_poi I-geographic_poi,"B-timeRange(noon), B-geographic_poi(e), I-geographic_poi(a), I-geographic_poi(vaughn), I-geographic_poi(wildlife), I-geographic_poi(management), I-geographic_poi(area),"
2478,GetWeather,what is the cloud coverage in my current place,O O O O B-condition_description O O O B-current_location I-current_location,"B-condition_description(cloud), B-current_location(current), I-current_location(place),"
2479,GetWeather,is it cloudy in the same area of lynn shore reservation,O O B-condition_description B-spatial_relation I-spatial_relation I-spatial_relation I-spatial_relation O B-geographic_poi I-geographic_poi I-geographic_poi,"B-condition_description(cloudy), B-spatial_relation(in), I-spatial_relation(the), I-spatial_relation(same), I-spatial_relation(area), B-geographic_poi(lynn), I-geographic_poi(shore), I-geographic_poi(reservation),"
2480,GetWeather,what will it feel like on patriot s day on south georgia and the south sandwich islands,O O O O O O B-timeRange I-timeRange I-timeRange O B-country I-country I-country I-country I-country I-country I-country,"B-timeRange(patriot), I-timeRange(s), I-timeRange(day), B-country(south), I-country(georgia), I-country(and), I-country(the), I-country(south), I-country(sandwich), I-country(islands),"
2481,PlayMusic,open lastfm play top hits of simon webbe,O B-service O B-sort O O B-artist I-artist,"B-service(lastfm), B-sort(top), B-artist(simon), I-artist(webbe),"
2482,GetWeather,what s the weather forecast for austin liechtenstein,O O O O O O B-city B-country,"B-city(austin), B-country(liechtenstein),"
2483,PlayMusic,i want to hear jimmy james from the thirties play a song on groove shark,O O O O O B-artist I-artist O O B-year O O B-music_item O B-service I-service,"B-artist(jimmy), I-artist(james), B-year(thirties), B-music_item(song), B-service(groove), I-service(shark),"
2484,PlayMusic,i want to listen to an album sorted by last open google music and play paulinho da viola,O O O O O O B-music_item O O B-sort O B-service I-service O O B-artist I-artist I-artist,"B-music_item(album), B-sort(last), B-service(google), I-service(music), B-artist(paulinho), I-artist(da), I-artist(viola),"
2485,GetWeather,is it going to be chilly at nine am in doolittle,O O O O O B-condition_temperature O B-timeRange I-timeRange O B-city,"B-condition_temperature(chilly), B-timeRange(nine), I-timeRange(am), B-city(doolittle),"
2486,PlayMusic,use itunes to play dancing playlist,O O B-service O O B-playlist O,"B-service(itunes), B-playlist(dancing),"
2487,PlayMusic,play me a song by teitur lassen on groove shark,O O O B-music_item O B-artist I-artist O B-service I-service,"B-music_item(song), B-artist(teitur), I-artist(lassen), B-service(groove), I-service(shark),"
2488,PlayMusic,play music by paul mccartney,O O O O B-artist I-artist,"B-artist(paul), I-artist(mccartney),"
2489,GetWeather,is snowfall forecast in pa,O O B-condition_description O O B-state,"B-condition_description(snowfall), B-state(pa),"
2490,GetWeather,will it be colder in noblesville east timor at 3 pm,O O O B-condition_temperature O B-city B-country I-country O B-timeRange I-timeRange,"B-condition_temperature(colder), B-city(noblesville), B-country(east), I-country(timor), B-timeRange(3), I-timeRange(pm),"
2491,GetWeather,give me the weather forecast for here,O O O O O O O B-current_location,"B-current_location(here),"
2492,PlayMusic,play some rap on pandora,O O B-genre O B-service,"B-genre(rap), B-service(pandora),"
2493,GetWeather,in 1 week is there going to be a depression in washington,B-timeRange I-timeRange I-timeRange O O O O O O B-condition_description O B-state,"B-timeRange(in), I-timeRange(1), I-timeRange(week), B-condition_description(depression), B-state(washington),"
2494,PlayMusic,play the greatest soundtrack by jesse harms,O O B-sort B-music_item O B-artist I-artist,"B-sort(greatest), B-music_item(soundtrack), B-artist(jesse), I-artist(harms),"
2495,GetWeather,is it going to be rainy here one second from now,O O O O O O B-condition_description B-current_location B-timeRange I-timeRange I-timeRange I-timeRange,"B-condition_description(rainy), B-current_location(here), B-timeRange(one), I-timeRange(second), I-timeRange(from), I-timeRange(now),"
2496,GetWeather,what s the forecast for pipe spring national monument,O O O O O B-geographic_poi I-geographic_poi I-geographic_poi I-geographic_poi,"B-geographic_poi(pipe), I-geographic_poi(spring), I-geographic_poi(national), I-geographic_poi(monument),"
2497,GetWeather,is it going to get windy today in tunisia,O O O O O O B-condition_description B-timeRange O B-country,"B-condition_description(windy), B-timeRange(today), B-country(tunisia),"
2498,GetWeather,what is the weather in hadar,O O O O O O B-city,"B-city(hadar),"
2499,GetWeather,i want food in zaleski,O O O O B-city,"B-city(zaleski),"
2500,GetWeather,what will be wind speed in tiplersville south sudan,O O O O B-condition_description O O B-city B-country I-country,"B-condition_description(wind), B-city(tiplersville), B-country(south), I-country(sudan),"
2501,GetWeather,what is the poland forecast for next january,O O O B-country O O B-timeRange I-timeRange,"B-country(poland), B-timeRange(next), I-timeRange(january),"
2502,PlayMusic,play something from the twenties on lastfm,O O O O B-year O B-service,"B-year(twenties), B-service(lastfm),"
2503,PlayMusic,play a melody by hagigat rzayeva,O O O B-music_item O B-artist I-artist,"B-music_item(melody), B-artist(hagigat), I-artist(rzayeva),"
2504,PlayMusic,play a theme from walerij leontjew,O O O B-music_item O B-artist I-artist,"B-music_item(theme), B-artist(walerij), I-artist(leontjew),"
2505,GetWeather,what s the weather going to be like near sawtooth national recreation area at 2 pm,O O O O O O O O O B-spatial_relation B-geographic_poi I-geographic_poi I-geographic_poi I-geographic_poi O B-timeRange I-timeRange,"B-spatial_relation(near), B-geographic_poi(sawtooth), I-geographic_poi(national), I-geographic_poi(recreation), I-geographic_poi(area), B-timeRange(2), I-timeRange(pm),"
2506,GetWeather,is there a depression in solromar on december 7 2033,O O O B-condition_description O B-city O B-timeRange I-timeRange I-timeRange,"B-condition_description(depression), B-city(solromar), B-timeRange(december), I-timeRange(7), I-timeRange(2033),"
2507,PlayMusic,play me a song by kevin cadogan,O O O O B-music_item O B-artist I-artist,"B-music_item(song), B-artist(kevin), I-artist(cadogan),"
2508,PlayMusic,play the most popular miles jones track,O O B-sort I-sort B-artist I-artist B-music_item,"B-sort(most), I-sort(popular), B-artist(miles), I-artist(jones), B-music_item(track),"
2509,PlayMusic,please play some music from the seventies movement,O O O O O O B-year B-music_item,"B-year(seventies), B-music_item(movement),"
2510,GetWeather,is it warm here now,O O B-condition_temperature B-current_location B-timeRange,"B-condition_temperature(warm), B-current_location(here), B-timeRange(now),"
2511,PlayMusic,i want to hear papa mali s songs from the fifties,O O O O O B-artist I-artist O O O O B-year,"B-artist(papa), I-artist(mali), B-year(fifties),"
2512,PlayMusic,play a ballad form 2014 by double on google music,O O B-music_item O B-year O B-artist O B-service I-service,"B-music_item(ballad), B-year(2014), B-artist(double), B-service(google), I-service(music),"
2513,PlayMusic,i want to hear that tune from 2010,O O O O O B-music_item O B-year,"B-music_item(tune), B-year(2010),"
2514,PlayMusic,play me a twenties song,O O O O B-year B-music_item,"B-year(twenties), B-music_item(song),"
2515,PlayMusic,start up my pachangueo total playlist,O O O B-playlist I-playlist O,"B-playlist(pachangueo), I-playlist(total),"
2516,PlayMusic,play some carmen mcrae from ed robertson off of itunes,O O O B-album I-album O B-artist I-artist O O B-service,"B-album(carmen), I-album(mcrae), B-artist(ed), I-artist(robertson), B-service(itunes),"
2517,GetWeather,will it get chillier in sinclair in 8 hours,O O O O B-condition_temperature O B-city B-timeRange I-timeRange I-timeRange,"B-condition_temperature(chillier), B-city(sinclair), B-timeRange(in), I-timeRange(8), I-timeRange(hours),"
2518,PlayMusic,play the playlist introspective,O O O B-playlist,"B-playlist(introspective),"
2519,GetWeather,what will it be like feb the twentieth in colorado,O O O O O B-timeRange I-timeRange I-timeRange O B-state,"B-timeRange(feb), I-timeRange(the), I-timeRange(twentieth), B-state(colorado),"
2520,GetWeather,is there any hail in monterey bay national marine sanctuary,O O O B-condition_description O B-geographic_poi I-geographic_poi I-geographic_poi I-geographic_poi I-geographic_poi,"B-condition_description(hail), B-geographic_poi(monterey), I-geographic_poi(bay), I-geographic_poi(national), I-geographic_poi(marine), I-geographic_poi(sanctuary),"
2521,PlayMusic,play eve,O B-artist,"B-artist(eve),"
2522,PlayMusic,play music on itunes from artist jessica delfino,O O O B-service O O B-artist I-artist,"B-service(itunes), B-artist(jessica), I-artist(delfino),"
2523,GetWeather,tell me the weather forecast for huxley ms,O O O O O O B-city B-state,"B-city(huxley), B-state(ms),"
2524,PlayMusic,play top-five concerto music from 1992,O B-sort B-music_item O O B-year,"B-sort(top-five), B-music_item(concerto), B-year(1992),"
2525,PlayMusic,open google music and play women of jazz playlist,O B-service I-service O O B-playlist I-playlist I-playlist O,"B-service(google), I-service(music), B-playlist(women), I-playlist(of), I-playlist(jazz),"
2526,GetWeather,what s the forecast for tonight far from east carpathian biosphere reserve,O O O O O B-timeRange B-spatial_relation O B-geographic_poi I-geographic_poi I-geographic_poi I-geographic_poi,"B-timeRange(tonight), B-spatial_relation(far), B-geographic_poi(east), I-geographic_poi(carpathian), I-geographic_poi(biosphere), I-geographic_poi(reserve),"
2527,GetWeather,what weather will it be in battlement mesa,O O O O O O O B-city I-city,"B-city(battlement), I-city(mesa),"
2528,GetWeather,will it be temperate here on 11/27/2023,O O O B-condition_temperature B-current_location O B-timeRange,"B-condition_temperature(temperate), B-current_location(here), B-timeRange(11/27/2023),"
2529,GetWeather,will it hail in 1 minute in toms river,O O O B-condition_description B-timeRange I-timeRange I-timeRange O B-city I-city,"B-condition_description(hail), B-timeRange(in), I-timeRange(1), I-timeRange(minute), B-city(toms), I-city(river),"
2530,GetWeather,what s the weather far away in estonia,O O O O B-spatial_relation O O B-country,"B-spatial_relation(far), B-country(estonia),"
2531,PlayMusic,play the most popular song by espen lind,O O O B-sort I-sort B-music_item O B-artist I-artist,"B-sort(most), I-sort(popular), B-music_item(song), B-artist(espen), I-artist(lind),"
2532,GetWeather,will it be chillier in uruguay in 213 days,O O O B-condition_temperature O B-country B-timeRange I-timeRange I-timeRange,"B-condition_temperature(chillier), B-country(uruguay), B-timeRange(in), I-timeRange(213), I-timeRange(days),"
2533,GetWeather,is snowfall forecast in pa,O O B-condition_description O O B-state,"B-condition_description(snowfall), B-state(pa),"
2534,PlayMusic,play music by artist mark ashley,O O O O B-artist I-artist,"B-artist(mark), I-artist(ashley),"
2535,PlayMusic,i need some hardcore hip hop,O O O B-genre I-genre I-genre,"B-genre(hardcore), I-genre(hip), I-genre(hop),"
2536,GetWeather,what is the weather like right now in the same area as georgia,O O O O O O B-timeRange B-spatial_relation I-spatial_relation I-spatial_relation I-spatial_relation O B-state,"B-timeRange(now), B-spatial_relation(in), I-spatial_relation(the), I-spatial_relation(same), I-spatial_relation(area), B-state(georgia),"
2537,GetWeather,will there be a snowstorm in leonville,O O O O O B-condition_description O B-city,"B-condition_description(snowstorm), B-city(leonville),"
2538,GetWeather,is it warm in fernandina beach slovakia,O O B-condition_temperature O B-city I-city B-country,"B-condition_temperature(warm), B-city(fernandina), I-city(beach), B-country(slovakia),"
2539,PlayMusic,play a chant by sonsee,O O B-music_item O B-artist,"B-music_item(chant), B-artist(sonsee),"
2540,PlayMusic,play the most popular sound track from the 2006,O O O B-sort I-sort B-music_item I-music_item O O B-year,"B-sort(most), I-sort(popular), B-music_item(sound), I-music_item(track), B-year(2006),"
2541,PlayMusic,play the necromancer,O O B-track I-track,"B-track(the), I-track(necromancer),"
2542,PlayMusic,play latin dinner,O B-playlist I-playlist,"B-playlist(latin), I-playlist(dinner),"
2543,GetWeather,what s the weather forecast for here,O O O O O O O B-current_location,"B-current_location(here),"
2544,GetWeather,show weather forecast for dovre-nationalpark,O O O O B-geographic_poi,"B-geographic_poi(dovre-nationalpark),"
2545,PlayMusic,play funtime activity,O B-playlist I-playlist,"B-playlist(funtime), I-playlist(activity),"
2546,PlayMusic,play some rumba africana,O O B-genre I-genre,"B-genre(rumba), I-genre(africana),"
2547,PlayMusic,play night electric night on iheart,O B-album I-album I-album O B-service,"B-album(night), I-album(electric), I-album(night), B-service(iheart),"
2548,GetWeather,will it be chilly in fiji at ten pm,O O O B-condition_temperature O B-country O B-timeRange I-timeRange,"B-condition_temperature(chilly), B-country(fiji), B-timeRange(ten), I-timeRange(pm),"
2549,PlayMusic,play dick marx,O B-artist I-artist,"B-artist(dick), I-artist(marx),"
2550,PlayMusic,play some music from the thirties,O O O O O B-year,"B-year(thirties),"
2551,PlayMusic,i want to hear music from the lotus flower album by andy mccoy,O O O O O O O O B-album I-album B-music_item O B-artist I-artist,"B-album(lotus), I-album(flower), B-music_item(album), B-artist(andy), I-artist(mccoy),"
2552,GetWeather,what will the eather be here next year,O O O O O O B-current_location B-timeRange I-timeRange,"B-current_location(here), B-timeRange(next), I-timeRange(year),"
2553,PlayMusic,play some google music,O O O B-service I-service,"B-service(google), I-service(music),"
2554,PlayMusic,play my frescura indie playlist,O O B-playlist I-playlist O,"B-playlist(frescura), I-playlist(indie),"
2555,PlayMusic,can you play me songs from the estado de ánimo playlist,O O O O O O O O B-playlist I-playlist I-playlist O,"B-playlist(estado), I-playlist(de), I-playlist(ánimo),"
2556,PlayMusic,play the newest music by gladys knight,O O B-sort O O B-artist I-artist,"B-sort(newest), B-artist(gladys), I-artist(knight),"
2557,GetWeather,in ut at 7 pm will it be snowy,O B-state O B-timeRange I-timeRange O O O B-condition_description,"B-state(ut), B-timeRange(7), I-timeRange(pm), B-condition_description(snowy),"
2558,GetWeather,what s the weather faraway from here on sep the fifteenth,O O O O O B-spatial_relation O B-current_location O B-timeRange I-timeRange I-timeRange,"B-spatial_relation(faraway), B-current_location(here), B-timeRange(sep), I-timeRange(the), I-timeRange(fifteenth),"
2559,GetWeather,i need the weather for 7/13/2036 in gwynedd valley,O O O O O B-timeRange O B-city I-city,"B-timeRange(7/13/2036), B-city(gwynedd), I-city(valley),"
2560,GetWeather,what is the weather forecast for boden,O O O O O O B-city,"B-city(boden),"
2561,PlayMusic,open netflix and play kan man gifta sig i jeans,O O B-service O O B-track I-track I-track I-track I-track I-track,"B-service(netflix), B-track(kan), I-track(man), I-track(gifta), I-track(sig), I-track(i), I-track(jeans),"
2562,GetWeather,what will the weather be like at my current spot on january the 19th,O O O O O O O O B-current_location I-current_location O B-timeRange I-timeRange I-timeRange,"B-current_location(current), I-current_location(spot), B-timeRange(january), I-timeRange(the), I-timeRange(19th),"
2563,PlayMusic,play some rock & roll by deezer,O O O B-genre I-genre I-genre O B-service,"B-genre(rock), I-genre(&), I-genre(roll), B-service(deezer),"
2564,GetWeather,what s the weather forecast for my current location on jun 2,O O O O O O O O B-current_location I-current_location O B-timeRange I-timeRange,"B-current_location(current), I-current_location(location), B-timeRange(jun), I-timeRange(2),"
2565,GetWeather,will it be cold at 1 am in boon,O O O B-condition_temperature O B-timeRange I-timeRange O B-city,"B-condition_temperature(cold), B-timeRange(1), I-timeRange(am), B-city(boon),"
2566,PlayMusic,play the energic itunes,O O O B-playlist B-service,"B-playlist(energic), B-service(itunes),"
2567,GetWeather,what s the weather forecast for austin liechtenstein,O O O O O O B-city B-country,"B-city(austin), B-country(liechtenstein),"
2568,GetWeather,what is the forecast in bearmouth in virgin islands in 3 months,O O O O O B-city O B-state I-state B-timeRange I-timeRange I-timeRange,"B-city(bearmouth), B-state(virgin), I-state(islands), B-timeRange(in), I-timeRange(3), I-timeRange(months),"
2569,GetWeather,will it be hot in amenia wi,O O O B-condition_temperature O B-city B-state,"B-condition_temperature(hot), B-city(amenia), B-state(wi),"
2570,PlayMusic,play the birds and the bees by ceca,O O B-track I-track I-track I-track I-track O B-artist,"B-track(the), I-track(birds), I-track(and), I-track(the), I-track(bees), B-artist(ceca),"
2571,GetWeather,what will the weather be in double oak at 12 am,O O O O O O B-city I-city O B-timeRange I-timeRange,"B-city(double), I-city(oak), B-timeRange(12), I-timeRange(am),"
2572,PlayMusic,play me a song from movies for the blind on pandora,O O O B-music_item O B-album I-album I-album I-album O B-service,"B-music_item(song), B-album(movies), I-album(for), I-album(the), I-album(blind), B-service(pandora),"
2573,GetWeather,weather for afghanistan in one minute,O O B-country B-timeRange I-timeRange I-timeRange,"B-country(afghanistan), B-timeRange(in), I-timeRange(one), I-timeRange(minute),"
2574,PlayMusic,play the album winner takes all by takuro with last fm,O O O B-music_item B-album I-album I-album O B-artist O B-service I-service,"B-music_item(album), B-album(winner), I-album(takes), I-album(all), B-artist(takuro), B-service(last), I-service(fm),"
2575,PlayMusic,play music from my relentless playlist,O O O O B-playlist O,"B-playlist(relentless),"
2576,GetWeather,what is the weather going to be at dinner time in the lake le-aqua-na state recreation area,O O O O O O O O B-timeRange O O O B-geographic_poi I-geographic_poi I-geographic_poi I-geographic_poi I-geographic_poi,"B-timeRange(dinner), B-geographic_poi(lake), I-geographic_poi(le-aqua-na), I-geographic_poi(state), I-geographic_poi(recreation), I-geographic_poi(area),"
2577,GetWeather,what s the weather in lime ridge dc,O O O O O B-city I-city B-state,"B-city(lime), I-city(ridge), B-state(dc),"
2578,PlayMusic,play a track by yui on vimeo,O O O B-music_item O B-artist O B-service,"B-music_item(track), B-artist(yui), B-service(vimeo),"
2579,GetWeather,what is the weather forecast for papua new guinea,O O O O O O B-country I-country I-country,"B-country(papua), I-country(new), I-country(guinea),"
2580,PlayMusic,play some retro music,O O B-genre O,"B-genre(retro),"
2581,GetWeather,will there be a blizzard next friday close in tn,O O O O B-condition_description B-timeRange I-timeRange B-spatial_relation O B-state,"B-condition_description(blizzard), B-timeRange(next), I-timeRange(friday), B-spatial_relation(close), B-state(tn),"
2582,PlayMusic,play the last theme by behzad mirkhani,O O O B-sort B-music_item O B-artist I-artist,"B-sort(last), B-music_item(theme), B-artist(behzad), I-artist(mirkhani),"
2583,GetWeather,is it going to be rainy in kings valley kosovo next mon,O O O O O B-condition_description O B-city I-city B-country B-timeRange I-timeRange,"B-condition_description(rainy), B-city(kings), I-city(valley), B-country(kosovo), B-timeRange(next), I-timeRange(mon),"
2584,PlayMusic,play fourties chant music on last fm,O O B-year B-music_item O O B-service I-service,"B-year(fourties), B-music_item(chant), B-service(last), I-service(fm),"
2585,GetWeather,will it be chilly around kingsley common on jan 9,O O O O B-condition_temperature B-spatial_relation B-geographic_poi I-geographic_poi O B-timeRange I-timeRange,"B-condition_temperature(chilly), B-spatial_relation(around), B-geographic_poi(kingsley), I-geographic_poi(common), B-timeRange(jan), I-timeRange(9),"
2586,GetWeather,tell me if it ll blizzard in ks,O O O O O B-condition_description O B-state,"B-condition_description(blizzard), B-state(ks),"
2587,GetWeather,i want to book a restaurant in 40 weeks in iowa,O O O O O O B-timeRange I-timeRange I-timeRange O B-state,"B-timeRange(in), I-timeRange(40), I-timeRange(weeks), B-state(iowa),"
2588,PlayMusic,play the happiest days of our lives by tommy emmanuel,O O B-track I-track I-track I-track I-track I-track O B-artist I-artist,"B-track(the), I-track(happiest), I-track(days), I-track(of), I-track(our), I-track(lives), B-artist(tommy), I-artist(emmanuel),"
2589,GetWeather,what is the forcast now in kansas,O O O O O B-timeRange O B-state,"B-timeRange(now), B-state(kansas),"
2590,GetWeather,show weather forecast in east tawakoni italy at four pm,O O O O O B-city I-city B-country O B-timeRange I-timeRange,"B-city(east), I-city(tawakoni), B-country(italy), B-timeRange(four), I-timeRange(pm),"
2591,PlayMusic,play movement music from 1954,O O B-music_item O O B-year,"B-music_item(movement), B-year(1954),"
2592,GetWeather,what is forecast in keyes summit in new mexico at 3 pm,O O O O B-city I-city O B-state I-state O B-timeRange I-timeRange,"B-city(keyes), I-city(summit), B-state(new), I-state(mexico), B-timeRange(3), I-timeRange(pm),"
2593,PlayMusic,i want to hear aki nawaz play the song fair annie,O O O O B-artist I-artist O O B-music_item B-track I-track,"B-artist(aki), I-artist(nawaz), B-music_item(song), B-track(fair), I-track(annie),"
2594,GetWeather,is it warm in albania at noon,O O O B-condition_temperature O B-country O B-timeRange,"B-condition_temperature(warm), B-country(albania), B-timeRange(noon),"
2595,GetWeather,one hour from now what will it be like in cholame rhode island,B-timeRange I-timeRange I-timeRange I-timeRange O O O O O O B-city B-state I-state,"B-timeRange(one), I-timeRange(hour), I-timeRange(from), I-timeRange(now), B-city(cholame), B-state(rhode), I-state(island),"
2596,GetWeather,what is the depression forecast for in five years in altyn-emel-nationalpark,O O O B-condition_description O O B-timeRange I-timeRange I-timeRange O B-geographic_poi,"B-condition_description(depression), B-timeRange(in), I-timeRange(five), I-timeRange(years), B-geographic_poi(altyn-emel-nationalpark),"
2597,GetWeather,will it be temperate in hybla valley tajikistan,O O O B-condition_temperature O B-city I-city B-country,"B-condition_temperature(temperate), B-city(hybla), I-city(valley), B-country(tajikistan),"
2598,PlayMusic,play new music by elmore james with google music,O B-sort O O B-artist I-artist O B-service I-service,"B-sort(new), B-artist(elmore), I-artist(james), B-service(google), I-service(music),"
2599,GetWeather,weather for noon in ca,O O B-timeRange O B-state,"B-timeRange(noon), B-state(ca),"
2600,PlayMusic,please play different slanguages by fred labour,O O B-album I-album O B-artist I-artist,"B-album(different), I-album(slanguages), B-artist(fred), I-artist(labour),"
2601,GetWeather,what will the weather be this year in horseshoe lake state fish and wildlife area,O O O O O B-timeRange I-timeRange O B-geographic_poi I-geographic_poi I-geographic_poi I-geographic_poi I-geographic_poi I-geographic_poi I-geographic_poi,"B-timeRange(this), I-timeRange(year), B-geographic_poi(horseshoe), I-geographic_poi(lake), I-geographic_poi(state), I-geographic_poi(fish), I-geographic_poi(and), I-geographic_poi(wildlife), I-geographic_poi(area),"
2602,PlayMusic,play bob hilliard top-twenty music,O O B-artist I-artist B-sort O,"B-artist(bob), I-artist(hilliard), B-sort(top-twenty),"
2603,GetWeather,what is the weather close-by my current spot,O O O O B-spatial_relation O B-current_location I-current_location,"B-spatial_relation(close-by), B-current_location(current), I-current_location(spot),"
2604,PlayMusic,play monie love tunes on google music from 1984 from her song list,O B-artist I-artist O O B-service I-service O B-year O O B-music_item O,"B-artist(monie), I-artist(love), B-service(google), I-service(music), B-year(1984), B-music_item(song),"
2605,PlayMusic,let me hear an ep from the thirties era of music,O O O O B-music_item O O B-year O O O,"B-music_item(ep), B-year(thirties),"
2606,PlayMusic,can you play me a track from the nineties,O O O O O B-music_item O O B-year,"B-music_item(track), B-year(nineties),"
