question,answer/0,answer/1,answer/2,answer/3,answer/4,answer/5,answer/6,answer/7,answer/8,answer/9,answer/10,answer/11,answer/12,answer/13,answer/14,answer/15,answer/16,answer/17,answer/18,answer/19,answer/20,answer/21,answer/22
what is the real name of our sun,The Sun,,,,,,,,,,,,,,,,,,,,,,
who sang the song oh what a lonely boy,Andrew Gold,,,,,,,,,,,,,,,,,,,,,,
in the dynastic cycle what is the right to rule called,the Mandate of Heaven,Mandate of Heaven,,,,,,,,,,,,,,,,,,,,,
when was the problem of cfc's discovered,late 1970s,1974,1973,1970s,,,,,,,,,,,,,,,,,,,
which president of the united states was a boy scout,Gerald Ford,President Gerald Ford,,,,,,,,,,,,,,,,,,,,,
who won the 2017 sports personality of the year,Mo Farah,,,,,,,,,,,,,,,,,,,,,,
the first significant restriction on free immigration in u.s. history was the,Naturalization Act of 1790,Chinese Exclusion Act in 1882,,,,,,,,,,,,,,,,,,,,,
who plays young voldemort in the half blood prince,Hero Beauregard Fiennes-Tiffin,,,,,,,,,,,,,,,,,,,,,,
when was the last time mount etna exploded,July–October 2012,16 March 2017,,,,,,,,,,,,,,,,,,,,,
where does some like it hot take place,Chicago,Miami,,,,,,,,,,,,,,,,,,,,,
when did dragon ball z air in australia,Fall 1998,,,,,,,,,,,,,,,,,,,,,,
describe the various uses of forests to human beings,a source of lumber,acting as a carbon sink,"aiding in regulating climate,",recreational areas,purifying water,serving as a genetic reserve,,,,,,,,,,,,,,,,,
how many episodes in my name is earl season 4,27,,,,,,,,,,,,,,,,,,,,,,
where did maria work in west side story,the dress shop,dress shop,,,,,,,,,,,,,,,,,,,,,
an influential religion to enter china along the silk route during the han dynasty was,Buddhism,,,,,,,,,,,,,,,,,,,,,,
where does the last name andersen originate from,Danish,Norwegian,,,,,,,,,,,,,,,,,,,,,
where will the next summer and winter olympics be held,Beijing,Tokyo,,,,,,,,,,,,,,,,,,,,,
who played mr. kincaid on the partridge family,David Joseph Madden,,,,,,,,,,,,,,,,,,,,,,
when did they stop making pull tabs on beer cans,1990,1970s,,,,,,,,,,,,,,,,,,,,,
who sings i wanna rock'n'roll all night,Kiss,,,,,,,,,,,,,,,,,,,,,,
who scored fastest 10000 runs in test cricket,Alastair Cook,Kumar Sangakkara,Brian Lara,Sachin Tendulkar,,,,,,,,,,,,,,,,,,,
who presides over the joint sessions of parliament,President,,,,,,,,,,,,,,,,,,,,,,
cast of the have and have nots play,Tony Hightower as Frank,Palmer Williams Jr. as Floyd,Maurice Lauchner as Lewis,Jeffery Lewis as Wallie,Alexis Jones as Diane,Kislyck Halsey as Rose,Patrice Lovely as Hattie,,,,,,,,,,,,,,,,
who starred in the movie on golden pond,William Lanteau,Christopher Rydell,Dabney Coleman,Henry Fonda,Jane Fonda,Katharine Hepburn,Doug McKeon,,,,,,,,,,,,,,,,
what is the salary of us secretary of state,"$205,700","$205,700 annually",,,,,,,,,,,,,,,,,,,,,
latest series of keeping up with the kardashians,14,,,,,,,,,,,,,,,,,,,,,,
avatar the last airbender season 3 episode 12,The Western Air Temple,,,,,,,,,,,,,,,,,,,,,,
the mughal garden of rashtrapati bhavan is modelled on which garden,the Persian gardens,charbagh,,,,,,,,,,,,,,,,,,,,,
when was to god be the glory written,around 1872,,,,,,,,,,,,,,,,,,,,,,
when was the cat and mouse act introduced,1913,,,,,,,,,,,,,,,,,,,,,,
who sang i dig rock and roll music,"Peter, Paul and Mary",,,,,,,,,,,,,,,,,,,,,,
who played skeletor in the movie masters of the universe,Frank Langella,,,,,,,,,,,,,,,,,,,,,,
who has been ranked no. 1 in the latest football rankings announced by fifa,Germany,,,,,,,,,,,,,,,,,,,,,,
explorer who led an early voyage to the coast of newfoundland,Jacques Cartier,,,,,,,,,,,,,,,,,,,,,,
how many walker texas ranger seasons are there,Eight,8,,,,,,,,,,,,,,,,,,,,,
where is the light between two oceans filmed,Australia,New Zealand,,,,,,,,,,,,,,,,,,,,,
who played bubba in the heat of the night,Carlos Alan Autry Jr.,,,,,,,,,,,,,,,,,,,,,,
who played sarah hedley in when the boat comes in,Rosalind Bailey,,,,,,,,,,,,,,,,,,,,,,
who played the beast in the movie beauty and the beast,Dan Stevens,Adam Mitchell,,,,,,,,,,,,,,,,,,,,,
when did the us cut off trade with cuba,1961,1962,,,,,,,,,,,,,,,,,,,,,
who developed the first printing press in 1430s,Johannes Gutenberg,,,,,,,,,,,,,,,,,,,,,,
where does stevia in the raw come from,South America,the plant species Stevia rebaudiana,,,,,,,,,,,,,,,,,,,,,
how many jimmy johns are there in the us,"more than 2,500","almost 3,000 stores","2,630","2,630 (December 2016)","more than 2,500 locations",,,,,,,,,,,,,,,,,,
who played the music producer in pitch perfect 2,Keegan-Michael Key,,,,,,,,,,,,,,,,,,,,,,
which layer of the meninges is connected to the brain,pia mater,The pia mater,,,,,,,,,,,,,,,,,,,,,
who has the most ncaa basketball tournament appearances,Kentucky,,,,,,,,,,,,,,,,,,,,,,
when will the flash season 4 episode 14 coming out,"February 27, 2018",,,,,,,,,,,,,,,,,,,,,,
mainland greece is a body of land with water on three sides called,peninsula,peninsular,,,,,,,,,,,,,,,,,,,,,
what type of legal system is used in the uk,Scots law,Northern Ireland law,English law,,,,,,,,,,,,,,,,,,,,
who painted the world famous painting the last supper,Leonardo da Vinci,,,,,,,,,,,,,,,,,,,,,,
what was the original purpose of the kremlin,the tsar's Moscow residence,,,,,,,,,,,,,,,,,,,,,,
what is the third season of total drama,World Tour,Total Drama World Tour,,,,,,,,,,,,,,,,,,,,,
the probability of making a type i error when retaining ho at the .05 level of significance is,5%,,,,,,,,,,,,,,,,,,,,,,
what nfl coach has the most wins ever,"Shula, Don",Don Shula,,,,,,,,,,,,,,,,,,,,,
the rule of the three rightly guided caliphs was called,Rashidun,the Rashidun,The Rashidun Caliphs,,,,,,,,,,,,,,,,,,,,
ray charles hit the road jack album name,Ray Charles Greatest Hits,,,,,,,,,,,,,,,,,,,,,,
who sings the wizards of waverly place theme song,Selena Gomez,,,,,,,,,,,,,,,,,,,,,,
how many times has the saints won the super bowl,1,,,,,,,,,,,,,,,,,,,,,,
where was the statue of liberty originally built,Paris,France,,,,,,,,,,,,,,,,,,,,,
the first political society started under british rule in india was,The British Indian Association,,,,,,,,,,,,,,,,,,,,,,
where does the bob and tom show broadcast from,"WFBQ in Indianapolis, Indiana","Indianapolis, Indiana",,,,,,,,,,,,,,,,,,,,,
what age do you have to be to buy cigarettes in california,21,,,,,,,,,,,,,,,,,,,,,,
who did the whistling in the muppet movie,Andrew Bird,musician Andrew Bird,,,,,,,,,,,,,,,,,,,,,
where would a subcutaneous injection be made in the skin,the subcutis,,,,,,,,,,,,,,,,,,,,,,
who sang the song with reba does he love you,Linda Davis,,,,,,,,,,,,,,,,,,,,,,
who wrote you must have been a beautiful baby,Johnny Mercer,lyrics by Johnny Mercer,music by Harry Warren,Harry Warren,,,,,,,,,,,,,,,,,,,
what was the immediate catalyst to the civil war,slavery,,,,,,,,,,,,,,,,,,,,,,
which player won the pga championship by the most shots,Rory McIlroy,,,,,,,,,,,,,,,,,,,,,,
when are you considered under the poverty line,"US$11,770",,,,,,,,,,,,,,,,,,,,,,
who was the author of the art of war,Sun Tzu,,,,,,,,,,,,,,,,,,,,,,
what has been the origin of most classical dances of india,the Sanskrit text Natya Shastra,Natya Shastra,The Natya Shastra,,,,,,,,,,,,,,,,,,,,
when was the last time kentucky won ncaa,2012,,,,,,,,,,,,,,,,,,,,,,
what olympic athlete has won the most medals,American swimmer Michael Phelps,Marit Bjørgen,Michael Phelps,,,,,,,,,,,,,,,,,,,,
when did the movie peter pan come out,2003,25 December 2003,,,,,,,,,,,,,,,,,,,,,
what is the transfer speed for sata 1,1.5 Gbit/s,,,,,,,,,,,,,,,,,,,,,,
where does new crust come from in sea floor spreading,basaltic magma,volcanic activity,,,,,,,,,,,,,,,,,,,,,
who cracked the enigma code in world war 2,Turing,,,,,,,,,,,,,,,,,,,,,,
what were the two causes of the dust bowl,severe drought,,,,,,,,,,,,,,,,,,,,,,
what type of reaction occurs to form a dipeptide,peptide bond,,,,,,,,,,,,,,,,,,,,,,
where does the un security council get troops for military actions,member states of the UN,member states,,,,,,,,,,,,,,,,,,,,,
who voices hiccup in how to train your dragon 2,Jay Baruchel,,,,,,,,,,,,,,,,,,,,,,
who does luke skywalker fall in love with,Mara Jade,,,,,,,,,,,,,,,,,,,,,,
if there is a line that lies parallel to the horizon it is said to be,A vanishing point,,,,,,,,,,,,,,,,,,,,,,
when was the last year the raiders won the superbowl,1983,,,,,,,,,,,,,,,,,,,,,,
how much energy does coal produce in the us,16.5 quadrillion BTUs,30.4%,,,,,,,,,,,,,,,,,,,,,
what is the definition of the word hosanna,"save, rescue, savior",rescue,savior,save,,,,,,,,,,,,,,,,,,,
where does the sun hit the us first,the summit of Cadillac Mountain,,,,,,,,,,,,,,,,,,,,,,
who are the only 2 families that have had 3 generations of oscar winners,The Hustons,the Coppolas,Hustons,Farrow/Previn/Allens,Coppolas,,,,,,,,,,,,,,,,,,
what is the name of the chief justice of ghana,Sophia Akuffo,,,,,,,,,,,,,,,,,,,,,,
who is considered the father of modern cosmology,Edwin Hubble,,,,,,,,,,,,,,,,,,,,,,
who discovered one of the first taxonomic classification schemes,Swedish botanist Carl Linnaeus,,,,,,,,,,,,,,,,,,,,,,
who plays on the tv show the resident,Merrin Dungey,Emily VanCamp,Bruce Greenwood,Melina Kanakaredes,Manish Dayal,Matt Czuchry,Moran Atias,Shaunette Renée Wilson,,,,,,,,,,,,,,,
when did are you smarter than a 5th grader first air,"February 27, 2007",,,,,,,,,,,,,,,,,,,,,,
who played the detective in little boy blue,Stephen Graham,,,,,,,,,,,,,,,,,,,,,,
what parts make up the peripheral nervous system,autonomic nervous system,somatic nervous system,,,,,,,,,,,,,,,,,,,,,
when is star vs the forces of evil coming back 2018,"March 3, 2018",,,,,,,,,,,,,,,,,,,,,,
who gets to race in the daytona clash,Daytona Pole Award winners,former Clash race winners,,,,,,,,,,,,,,,,,,,,,
in which sea pearl is found in india,the Indian Ocean,,,,,,,,,,,,,,,,,,,,,,
when did they stop making the nissan xterra,2015,after the 2015 model year,,,,,,,,,,,,,,,,,,,,,
what does ctrl+shift+t do,New tab,Open a previously closed tab,,,,,,,,,,,,,,,,,,,,,
who sang heard it thru the grapevine first,Gladys Knight & the Pips,the Miracles,The Miracles,,,,,,,,,,,,,,,,,,,,
who sang theme song for dukes of hazard,Waylon Jennings,,,,,,,,,,,,,,,,,,,,,,
where does the coral sea meet the pacific ocean,in the east,South Pacific,,,,,,,,,,,,,,,,,,,,,
when does the new season of are you the one come on,2018,,,,,,,,,,,,,,,,,,,,,,
where did the beer hall putsch take place,"Munich, Bavaria",,,,,,,,,,,,,,,,,,,,,,
where did the northernmost land action of the american civil war occur,"St. Albans, Vermont",,,,,,,,,,,,,,,,,,,,,,
what is the meaning of molech in the bible,king,,,,,,,,,,,,,,,,,,,,,,
what areas of africa were involved in colonization,90 percent of the continent,,,,,,,,,,,,,,,,,,,,,,
who took the first steps on the moon in 1969,Neil Armstrong,,,,,,,,,,,,,,,,,,,,,,
who played john connor in the original terminator,Michael Edwards,Edward Furlong,,,,,,,,,,,,,,,,,,,,,
what type of planet is neptune known as,giant,ice giants,,,,,,,,,,,,,,,,,,,,,
who was the original host of what's my line,John Daly,,,,,,,,,,,,,,,,,,,,,,
who was the drummer with the travelling wilburys,Jim Keltner,,,,,,,,,,,,,,,,,,,,,,
what was the name of darth vader star destroyer,Devastator,the Devastator,,,,,,,,,,,,,,,,,,,,,
by 1914 which of the following african countries were still independent,Liberia,Ethiopia,,,,,,,,,,,,,,,,,,,,,
what is best thing i never had song about,revenge and karma,karma,revenge,,,,,,,,,,,,,,,,,,,,
who did university of miami play last week,FIU,,,,,,,,,,,,,,,,,,,,,,
who appoints the members of the board of governors of the federal reserve,the President,,,,,,,,,,,,,,,,,,,,,,
when was hitchhiker's guide to the galaxy made,2005,1978,,,,,,,,,,,,,,,,,,,,,
how many episodes are there in modern family,201,232,,,,,,,,,,,,,,,,,,,,,
where does the eurostar train arrives in london,St Pancras International,,,,,,,,,,,,,,,,,,,,,,
where does the karate kid 2010 take place,China,Beijing,"Beijing, China",,,,,,,,,,,,,,,,,,,,
who played adaline in the age of adaline,Adaline Bowman,Blake Lively,,,,,,,,,,,,,,,,,,,,,
what is the general structure of an url,a protocol,a hostname,a file name,,,,,,,,,,,,,,,,,,,,
who said the poison is in the dose,credited to Paracelsus,Paracelsus,,,,,,,,,,,,,,,,,,,,,
who played young clark kent in 1978 superman,Jeff East,,,,,,,,,,,,,,,,,,,,,,
when did equus first appear in fossil record,1820s,~3.5 million years old,about 3.5 mya,,,,,,,,,,,,,,,,,,,,
who plays poppy in the beat goes on,Amanda Leighton,,,,,,,,,,,,,,,,,,,,,,
when are the opening ceremonies for the 2018 olympic games,9 February 2018,9 February 2018,,,,,,,,,,,,,,,,,,,,,
how long do nhl players stay on waivers,24 hours,,,,,,,,,,,,,,,,,,,,,,
the removal of temperature in fire fighting method is known as,cooling,penciling,,,,,,,,,,,,,,,,,,,,,
lilo and stitch the series season 1 episode 1,Richter,,,,,,,,,,,,,,,,,,,,,,
what are the main functions of the stem,Production of new living tissue,Storage of nutrients,,,,,,,,,,,,,,,,,,,,,
who was the baby in ghost busters 2,Hank J. Deutschendorf II,William T. Deutschendorf,,,,,,,,,,,,,,,,,,,,,
who sang from russia with love james bond,Matt Monro,,,,,,,,,,,,,,,,,,,,,,
what football player is called the honey badger,Tyrann Devine Mathieu,,,,,,,,,,,,,,,,,,,,,,
which material is the heaviest in term of density,Osmium,,,,,,,,,,,,,,,,,,,,,,
who sang for lee bowman in my dream is yours,Hal Derwin,,,,,,,,,,,,,,,,,,,,,,
who has the most conference championships in college basketball,Kansas,,,,,,,,,,,,,,,,,,,,,,
who played sandy's jock boyfriend in grease,John Travolta,Lorenzo Lamas,,,,,,,,,,,,,,,,,,,,,
who plays the doc in back to the future,Christopher Allen Lloyd,,,,,,,,,,,,,,,,,,,,,,
when did come fly with me come out,25 December 2010,,,,,,,,,,,,,,,,,,,,,,
what type of bridge is the charles bridge,a bow bridge,bow bridge,Stone,,,,,,,,,,,,,,,,,,,,
who is pictured on the 5000 dollar bill,James Madison,,,,,,,,,,,,,,,,,,,,,,
where is the word leviathan mentioned in the bible,Book of Job,Psalms,Isaiah,,,,,,,,,,,,,,,,,,,,
who won the american league east in 2017,The Yankees,Houston Astros,,,,,,,,,,,,,,,,,,,,,
a system of fortifications along france's border,Maginot Line,The Maginot Line,,,,,,,,,,,,,,,,,,,,,
who was hope brady's mother on days of our lives,Ciara Brady,Addie Horton,,,,,,,,,,,,,,,,,,,,,
how much does a new gulfstream g650 cost,US$66.61 million,$66.5 million,,,,,,,,,,,,,,,,,,,,,
which us ship was captured off the coast of massachusetts by the british,USS Chesapeake,,,,,,,,,,,,,,,,,,,,,,
when did congress passes legislation to fund the national cancer institute,"August 5, 1937",,,,,,,,,,,,,,,,,,,,,,
where was the film coming home for christmas filmed,British Columbia,,,,,,,,,,,,,,,,,,,,,,
who won the 7 man elimination chamber match,Roman Reigns,,,,,,,,,,,,,,,,,,,,,,
who wins the final fight in real steel,Zeus,,,,,,,,,,,,,,,,,,,,,,
published a treatise on perspective della pitture (or on painting) in 1435,Leon Battista Alberti,,,,,,,,,,,,,,,,,,,,,,
who is the first indian who got oscar for lifetime achievement,Mehboob Khan,,,,,,,,,,,,,,,,,,,,,,
what network is showing the monday night football game,ESPN,,,,,,,,,,,,,,,,,,,,,,
how did leo dalton die in silent witness,in an explosion,,,,,,,,,,,,,,,,,,,,,,
who holds the record for most platinum albums,The Beatles,Elvis Presley,AC/DC,,,,,,,,,,,,,,,,,,,,
which battle ended britain's support for the south,Battle of Antietam,the Battle of Antietam,,,,,,,,,,,,,,,,,,,,,
when does panic at the disco album come out,"December 15, 2017",,,,,,,,,,,,,,,,,,,,,,
when does the flash season 4 episode 3 air,"October 24, 2017",,,,,,,,,,,,,,,,,,,,,,
who directed the iconic animated short educational film ek anek aur ekta,Vijaya Mulay,,,,,,,,,,,,,,,,,,,,,,
tad the lost explorer and the secret of king midas english cast,Ariel Winter as Sara Lavrof,Cheech Marin as Freddy,Bruce Mackinnon as the mummy,Lewis MacLeod,Liza Ross as Grandma,Fiona Glascott,Adam Jones as Max Morden,,,,,,,,,,,,,,,,
who is the actor that plays saul on grace and frankie,Sam Waterston,,,,,,,,,,,,,,,,,,,,,,
who holds the most home runs in mlb history,Barry Bonds,,,,,,,,,,,,,,,,,,,,,,
who cooks for the president of the united states,Cristeta Comerford,White House Executive Chef,The White House Executive Chef,,,,,,,,,,,,,,,,,,,,
who hosted and won the inagural world cup,Uruguay,,,,,,,,,,,,,,,,,,,,,,
how many cracker barrels in the united states,639,more than 600,,,,,,,,,,,,,,,,,,,,,
striking the funny bone is actually compression of the,The ulnar nerve,ulnar nerve,,,,,,,,,,,,,,,,,,,,,
who won the wwe championship elimination chamber 2018,Roman Reigns,,,,,,,,,,,,,,,,,,,,,,
who won the most stanley cups in history,Montreal Canadiens,,,,,,,,,,,,,,,,,,,,,,
who starred in the movie the day the earth stood still,Jennifer Connelly,Jaden Smith,Kyle Chandler,Keanu Reeves,Jon Hamm,Kathy Bates,John Cleese,,,,,,,,,,,,,,,,
who won the battle of britain in ww2,Britain,the United Kingdom,British,,,,,,,,,,,,,,,,,,,,
when does shadowhunters season 2 episode 17 come out,"February 13, 2017","January 23, 2017","July 24, 2017",,,,,,,,,,,,,,,,,,,,
who played kelly taylor's mom on 90210,Ann Gillespie,,,,,,,,,,,,,,,,,,,,,,
the concept of micro financing was developed by who in 1976,Muhammad Yunus,,,,,,,,,,,,,,,,,,,,,,
who is the actor that plays ducky on ncis,David McCallum,,,,,,,,,,,,,,,,,,,,,,
where was the first cell phone call made,"April 3, 1973",,,,,,,,,,,,,,,,,,,,,,
what breed of cat has spots and stripes,tabby,,,,,,,,,,,,,,,,,,,,,,
what are the monomer building blocks of dna and rna,Nucleotides,,,,,,,,,,,,,,,,,,,,,,
what is the 3rd largest state in usa,Alaska,California,,,,,,,,,,,,,,,,,,,,,
which mode is used for short wave broadcast service,Olivia,MFSK,,,,,,,,,,,,,,,,,,,,,
where does cerebrospinal fluid flow to when it exits the cerebral aqueduct,the fourth ventricle,fourth ventricle,,,,,,,,,,,,,,,,,,,,,
how old is baby in dirty dancing movie,17-year-old,17,,,,,,,,,,,,,,,,,,,,,
when did lord howe island became a world heritage site,in 1982,1982,,,,,,,,,,,,,,,,,,,,,
which foreign currency option is the​ right but not the​ obligation to buy foreign​ currency,foreign exchange option,,,,,,,,,,,,,,,,,,,,,,
how many episodes in great british bake off 2017,10,,,,,,,,,,,,,,,,,,,,,,
who was the first baseball player to be featured on a postage stamp,Jackie Robinson,,,,,,,,,,,,,,,,,,,,,,
what type of car is a g wagon,Mercedes-Benz,,,,,,,,,,,,,,,,,,,,,,
when is the last time congress passed a complete budget,FY2010,"March 23, 2013",,,,,,,,,,,,,,,,,,,,,
when's the last time scotland won the calcutta cup,2018,,,,,,,,,,,,,,,,,,,,,,
when is dragon ball super episode 131 releasing,TBA,"March 25, 2018",,,,,,,,,,,,,,,,,,,,,
who sang i knew the bride when she used to rock and roll,Dave Edmunds,,,,,,,,,,,,,,,,,,,,,,
where did the term liberal arts come from,the Roman Empire,,,,,,,,,,,,,,,,,,,,,,
who wrote when a man loves a woman,Calvin Lewis and Andrew Wright,Calvin Lewis,Percy Sledge,Andrew Wright,,,,,,,,,,,,,,,,,,,
the site of secretion of h+ and cl-,Parietal cells,,,,,,,,,,,,,,,,,,,,,,
who has the talismans in sailor moon s,Haruka and Michiru,Haruka,Michiru,Sailor Pluto,,,,,,,,,,,,,,,,,,,
tv show theme song would you like to swing on a star,Out of This World,,,,,,,,,,,,,,,,,,,,,,
where are haploid cells found in the human body,sperm,sperm or egg cells,ova,,,,,,,,,,,,,,,,,,,,
when did the three little pigs come out,first published in 1890,1933,c.1886,1886,,,,,,,,,,,,,,,,,,,
where did the california gold rush take place,Northern California,Sierra Nevada,,,,,,,,,,,,,,,,,,,,,
how many strong verbs are there in german,more than 200,more than 200 strong,,,,,,,,,,,,,,,,,,,,,
who invented the submarine during the civil war,Horace Lawson Hunley,,,,,,,,,,,,,,,,,,,,,,
who has won more grand slam titles in tennis,Roger Federer,,,,,,,,,,,,,,,,,,,,,,
chandra and bhaga river meets at the place,"Tandi, in Lahaul","at Tandi, in Lahaul",,,,,,,,,,,,,,,,,,,,,
the recipient of first jnanpith award was an author which language,Malayalam,,,,,,,,,,,,,,,,,,,,,,
who is the cast of despicable me 3,Steve Carell,Nev Scharrel,Miranda Cosgrove,Pierre Coffin,Kristen Wiig,Trey Parker,Andy Nyman,Julie Andrews,Steve Coogan,Jenny Slate,John Cygan,Dana Gaier,Adrian Ciscato,,,,,,,,,,
what is the tigers name in life of pi,Richard Parker,,,,,,,,,,,,,,,,,,,,,,
who is the presiding officer of legislative council in india,Chairman,,,,,,,,,,,,,,,,,,,,,,
who will get ticket to finale in rising star 2,Hemant Brijwasi,,,,,,,,,,,,,,,,,,,,,,
referring to the organs of reproduction is called,Reproductive system,,,,,,,,,,,,,,,,,,,,,,
in which country were the two battles of el alamein fought,Egypt,,,,,,,,,,,,,,,,,,,,,,
who invented the printing press and in what year,the German Johannes Gutenberg,Johannes Gutenberg around 1440,1440,Johannes Gutenberg,around 1440,,,,,,,,,,,,,,,,,,
who wrote the song always be humble and kind,Lori McKenna,,,,,,,,,,,,,,,,,,,,,,
a drug that might be used in surgery for its amnesic properties is,benzodiazepines,Benzodiazepines,,,,,,,,,,,,,,,,,,,,,
when was the last time the womens hockey team won gold,2018,,,,,,,,,,,,,,,,,,,,,,
region of antarctica where march of the penguins filmed,Dumont d'Urville in Adélie Land,Dumont d'Urville Station,Adélie Land,,,,,,,,,,,,,,,,,,,,
which film won the oscar for best animated feature in 2007,Ratatouille,,,,,,,,,,,,,,,,,,,,,,
which episode does gideon die in criminal minds,"""Nelson's Sparrow""",Nelson's Sparrow,,,,,,,,,,,,,,,,,,,,,
what is the first line of an http request to the server,A request line,the status line,,,,,,,,,,,,,,,,,,,,,
when are the next commonwealth games going to be held,2022,,,,,,,,,,,,,,,,,,,,,,
what is the multiplication sign on the computer,a rotationally symmetric saltire,the symbol ×,*,,,,,,,,,,,,,,,,,,,,
which site of an enzyme is called allosteric site,regulatory site,,,,,,,,,,,,,,,,,,,,,,
who has won the most world series in baseball,the New York Yankees,New York Yankees,,,,,,,,,,,,,,,,,,,,,
towns on the border of texas and oklahoma,Texhoma,,,,,,,,,,,,,,,,,,,,,,
who has the most rushing yards in a super bowl,Timmy Smith,,,,,,,,,,,,,,,,,,,,,,
in photosynthesis the carbon in co2 is initially fixed to what molecule,3-phosphoglycerate,,,,,,,,,,,,,,,,,,,,,,
who said that religion is the opiate of the masses,Karl Marx.,Karl Marx,,,,,,,,,,,,,,,,,,,,,
which was the first village of karnataka which declared independence,Hyderabad,,,,,,,,,,,,,,,,,,,,,,
who sang once upon a dream at the end of maleficent,Lana Del Rey,,,,,,,,,,,,,,,,,,,,,,
who was last person to be executed in us,Ruben Cardenas Ramirez,,,,,,,,,,,,,,,,,,,,,,
where does the story the great gatsby take place,Long Island of 1922,,,,,,,,,,,,,,,,,,,,,,
how many scholarships do division 2 football teams get,36.0,,,,,,,,,,,,,,,,,,,,,,
who scored the most goals in premier league season,Alan Shearer,Andy Cole,Chelsea,,,,,,,,,,,,,,,,,,,,
who sings in cry baby for johnny depp,James Intveld,,,,,,,,,,,,,,,,,,,,,,
who lived in jamestown before the arrival of the english,uninhabited,,,,,,,,,,,,,,,,,,,,,,
what is the corporate tax rate in great britain,20%,,,,,,,,,,,,,,,,,,,,,,
who sings i want to rock and roll,Kiss,,,,,,,,,,,,,,,,,,,,,,
how many seasons of the smurfs are there,9,,,,,,,,,,,,,,,,,,,,,,
who wrote the song city of new orleans,Steve Goodman,,,,,,,,,,,,,,,,,,,,,,
when did i'm like a bird come out,"October 24, 2000",,,,,,,,,,,,,,,,,,,,,,
who sings god is great beer is good,Currington,,,,,,,,,,,,,,,,,,,,,,
when was night at the museum 3 filmed,"British Columbia, Canada",January to May 2014,2014,"London, England",from January to May 2014,,,,,,,,,,,,,,,,,,
who added a press room to the white house,Richard Nixon,President Richard Nixon,,,,,,,,,,,,,,,,,,,,,
when was the first documented case of tool mark identification,1835,,,,,,,,,,,,,,,,,,,,,,
who did the 49ers beat in the super bowls,San Diego Chargers,Denver Broncos,Cincinnati Bengals,Miami Dolphins,,,,,,,,,,,,,,,,,,,
what kind of dog is charkie from curious george,black cocker spaniel,cocker spaniel,,,,,,,,,,,,,,,,,,,,,
where are mucosal associated lymphoid tissues present in the human body and why,oral passage,salivary glands,gastrointestinal tract,breast,skin,thyroid,lung,nasopharyngeal tract,eye,,,,,,,,,,,,,,
what are the roles of international monetary fund,foster global monetary cooperation,secure financial stability,to foster global monetary cooperation,reduce poverty around the world,facilitate international trade,,,,,,,,,,,,,,,,,,
when was 1 john 5 7 added to the bible,the 9th century,,,,,,,,,,,,,,,,,,,,,,
where does the saskatchewan river start and end,central Saskatchewan,the Hudson Bay,"Saskatchewan River Forks, Saskatchewan","Saskatchewan Glacier, Alberta",,,,,,,,,,,,,,,,,,,
calpurnia son name in to kill a mockingbird,Zeebo,James Zeebo,,,,,,,,,,,,,,,,,,,,,
what are the first and second major religions in france,Islam,Catholicism,Not religious,Protestantism,Christianity,,,,,,,,,,,,,,,,,,
the plane of earth's orbit is called the,ecliptic,,,,,,,,,,,,,,,,,,,,,,
what is a another name for the water cycle,the hydrological cycle,the hydrologic cycle,hydrologic cycle,hydrological cycle,,,,,,,,,,,,,,,,,,,
when does the champions league round of 16 start,13 February,,,,,,,,,,,,,,,,,,,,,,
with a land area of 54 314 square miles where does wisconsin rank among the 50 states,25,,,,,,,,,,,,,,,,,,,,,,
when did a wrinkle in time start filming,"November 2, 2016",,,,,,,,,,,,,,,,,,,,,,
who played mr. willoughby in sense and sensibility,Matthew Gregory Wise,,,,,,,,,,,,,,,,,,,,,,
who won the men's single title of australia open on 1 february 2015,Djokovic,Novak Djokovic,,,,,,,,,,,,,,,,,,,,,
when does nathan get in a car accident,The Show Must Go On,,,,,,,,,,,,,,,,,,,,,,
what is the white stork a symbol for in western culture,bringing babies to new parents,,,,,,,,,,,,,,,,,,,,,,
who got the first arjun award in athletics,Gurbachan Singh Randhawa,,,,,,,,,,,,,,,,,,,,,,
who sings good night on the beatles white album,Ringo Starr,,,,,,,,,,,,,,,,,,,,,,
when does season 5 of ruby come out,"October 14, 2017","October 14, 2017",,,,,,,,,,,,,,,,,,,,,
where are the winter olympic games being held this year,"Pyeongchang County, South Korea",,,,,,,,,,,,,,,,,,,,,,
nitty gritty dirt band fishin in the dark album,Hold On,,,,,,,,,,,,,,,,,,,,,,
nickname given to railroad executives due to shady practices of their businesses,Robber baron,Robber Barons,,,,,,,,,,,,,,,,,,,,,
what was the first star trek enterprise ship,NCC-1701,,,,,,,,,,,,,,,,,,,,,,
what is the full scientific name for the e. coli bacteria,Escherichia coli,,,,,,,,,,,,,,,,,,,,,,
rain sleet or snow that contains a high concentration of acids is called,Acid rain,"""Acid rain""",,,,,,,,,,,,,,,,,,,,,
who had won the first grammy award for the best new artist,Chance the Rapper,Bobby Darin,,,,,,,,,,,,,,,,,,,,,
where did the christmas tree at rockefeller center come from,"State College, PA",,,,,,,,,,,,,,,,,,,,,,
when does the new season of lost in space come out,"April 13, 2018",,,,,,,,,,,,,,,,,,,,,,
where are the organ mountains in new mexico,southern New Mexico,,,,,,,,,,,,,,,,,,,,,,
